msoa_code,msoa_name,local_auth_code,local_auth_name,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,march_deaths,april_deaths,may_deaths,june_deaths,july_deaths,total_population_mid_2018,over_70_prop,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000337,Greenwich 025,E09000011,Greenwich,2,0.240182538729434,6,0.7205476161883031,0,5,0,1,0,8327,0.0977542932628798,0.199215785479382,0.0868960283329117,0.00695674171515304,0.0182140146724007,12.26,6.36,4.73,4.47,2.16,7460.0,11819.0,13925.0,5893.0,11601.0
E02000339,Greenwich 027,E09000011,Greenwich,6,0.949367088607594,7,1.1075949367088607,0,7,0,0,0,6320,0.133544303797468,0.110050251256281,0.0274706867671691,0.00318257956448911,0.0155778894472361,14.09,7.12,4.83,4.66,2.57,16894.0,27372.5,21076.0,13902.0,9984.5
E02000340,Greenwich 028,E09000011,Greenwich,0,0.0,0,0.0,0,0,0,0,0,6521,0.15611102591627,0.148488830486202,0.0448423127463863,0.00903416557161629,0.0287450722733245,12.54,7.03,4.51,4.06,2.37,19696.0,22636.5,24331.0,12149.5,14539.5
E02000341,Greenwich 029,E09000011,Greenwich,5,0.611545988258317,8,0.9784735812133072,0,6,1,1,0,8176,0.0889187866927593,0.235324742938956,0.111414811922426,0.0100221267733958,0.0113237016790316,12.18,6.67,4.63,4.16,2.18,4209.0,7257.0,10945.0,924.0,14176.0
E02000342,Greenwich 030,E09000011,Greenwich,1,0.160926939169616,2,0.321853878339234,0,2,0,0,0,6214,0.0881879626649501,0.187044785371145,0.0607469394080272,0.0142569347590268,0.0165814349914768,12.88,7.98,5.2,4.7,2.69,10312.0,10689.0,14076.0,10072.0,16270.0
E02000343,Greenwich 031,E09000011,Greenwich,5,0.724112961622013,7,1.0137581462708183,1,5,1,0,0,6905,0.115423606082548,0.198501872659176,0.0817977528089887,0.00898876404494382,0.0176779026217228,12.36,8.17,4.54,4.85,2.38,11896.0,14411.5,16296.5,11342.0,16184.0
E02000344,Greenwich 032,E09000011,Greenwich,10,1.52601861742713,15,2.2890279261406987,0,14,1,0,0,6553,0.129864184343048,0.166118678565836,0.0579301706591514,0.0126820103334899,0.0195710036010646,11.43,7.24,4.29,4.32,2.31,19075.0,20181.0,22764.5,13403.5,18257.5
E02000345,Hackney 001,E09000012,Hackney,6,0.61893955023726,7,0.7220961419434702,1,6,0,0,0,9694,0.0497214772023932,0.291921249151391,0.0941389454627743,0.0148223579995474,0.0196877121520706,6.63,5.86,3.45,2.61,1.1,11781.0,4776.0,17685.0,1713.0,6146.0
E02000346,Hackney 002,E09000012,Hackney,3,0.381825124093165,7,0.8909252895507191,1,3,3,0,0,7857,0.056382843324424,0.566152330925804,0.292186474064346,0.0374261326329612,0.0215036112934996,8.05,7.45,4.07,4.61,1.33,1972.0,10158.5,10869.5,1152.5,3770.0
E02000347,Hackney 003,E09000012,Hackney,3,0.33948172456716,6,0.6789634491343216,0,6,0,0,0,8837,0.0571460903021387,0.313599798893916,0.128079436902966,0.0139517345399698,0.0204876822523881,6.31,5.96,3.25,2.68,1.14,8090.0,10100.0,16376.0,1985.0,6219.0
E02000348,Hackney 004,E09000012,Hackney,8,0.88427102907041,12,1.3264065436056152,0,10,1,0,1,9047,0.0442135514535205,0.431280788177339,0.201477832512315,0.0217980295566502,0.0445812807881773,6.91,6.05,3.66,2.9,1.12,5955.0,5646.0,9789.0,1724.0,9578.0
E02000350,Hackney 006,E09000012,Hackney,7,0.697975869977066,11,1.096819224249676,1,9,1,0,0,10029,0.0411805763286469,0.404125447274258,0.146705956640707,0.0254683224584298,0.100820879814775,8.58,7.06,4.59,3.93,1.39,11065.0,23316.0,13194.0,1834.0,6165.0
E02000351,Hackney 007,E09000012,Hackney,3,0.310045473336089,5,0.5167424555601489,0,3,2,0,0,9676,0.0449565936337329,0.337439868590871,0.12659861551097,0.0267511439633931,0.0211193241816261,7.53,6.69,3.86,4.5,1.3,10086.0,24388.5,12713.0,922.0,4570.0
E02000352,Hackney 008,E09000012,Hackney,6,0.823045267489712,10,1.3717421124828533,0,8,2,0,0,7290,0.0680384087791495,0.331686764492227,0.14441377306407,0.0249891035885515,0.0159814034577945,7.97,5.74,3.86,4.23,1.44,7543.0,24491.0,9424.5,2131.0,8805.5
E02000353,Hackney 009,E09000012,Hackney,5,0.610053684724255,5,0.6100536847242557,0,5,0,0,0,8196,0.0623474865788189,0.322630362188543,0.118546108399691,0.0327510917030567,0.0536861032622656,8.5,6.13,4.23,4.39,1.47,11775.0,31526.0,15750.0,2136.0,4399.0
